#SCU1.ForceA.Engineering value [kN],SCU1.Encoder.Engineering value [mm],Design,Direction,Displacement Rate
-0.002078265,-0.098812103,A,X,0.1
-0.0041979253,-0.10354805,A,X,0.1
0.0057741106,-0.10734367,A,X,0.1
-0.0065110028,-0.11400795,A,X,0.1
0.00023427606,-0.11839294,A,X,0.1
-0.0015840232,-0.12416267,A,X,0.1
0.0081392825,-0.12862396,A,X,0.1
-0.0033912361,-0.13444519,A,X,0.1
9.57E-05,-0.13950157,A,X,0.1
0.0038065016,-0.14460754,A,X,0.1
-0.0016326606,-0.14900208,A,X,0.1
-0.0017367303,-0.15566635,A,X,0.1
0.0091967285,-0.15964127,A,X,0.1
-0.0050700605,-0.1638546,A,X,0.1
0.004368335,-0.17081833,A,X,0.1
-0.0067825019,-0.17541885,A,X,0.1
0.0046674311,-0.17978477,A,X,0.1
-0.0054076016,-0.18549347,A,X,0.1
0.0062476099,-0.19023514,A,X,0.1
-0.0031056702,-0.19607353,A,X,0.1
0.0019950569,-0.20180893,A,X,0.1
0.0039000809,-0.20620346,A,X,0.1
0.0077188313,-0.21157455,A,X,0.1
-0.0069946349,-0.21655655,A,X,0.1
-0.0030049384,-0.22079086,A,X,0.1
-0.0028809607,-0.22600365,A,X,0.1
0.00586918,-0.23103142,A,X,0.1
-0.0048957169,-0.23534393,A,X,0.1
0.0026079118,-0.24114799,A,X,0.1
-0.0060185492,-0.24503517,A,X,0.1
0.0069204271,-0.2508316,A,X,0.1
-0.0056318939,-0.25629044,A,X,0.1
0.0097614825,-0.26033592,A,X,0.1
-0.012835413,-0.2675209,A,X,0.1
0.011412293,-0.27203751,A,X,0.1
-0.0047999918,-0.27603149,A,X,0.1
0.012291878,-0.28208351,A,X,0.1
-0.0034410059,-0.2859211,A,X,0.1
0.015798956,-0.29128265,A,X,0.1
0.00096461177,-0.29718781,A,X,0.1
0.008961767,-0.30116653,A,X,0.1
-0.002935797,-0.30614471,A,X,0.1
0.01244244,-0.31085396,A,X,0.1
-0.010890156,-0.31681824,A,X,0.1
0.012693793,-0.32226944,A,X,0.1
-0.0086375177,-0.32658958,A,X,0.1
0.0096897781,-0.33220482,A,X,0.1
-0.0055790246,-0.33656693,A,X,0.1
0.010721296,-0.34262466,A,X,0.1
-0.007663995,-0.3470211,A,X,0.1
0.009665519,-0.35313606,A,X,0.1
-0.0083024204,-0.35699272,A,X,0.1
0.012161106,-0.3611908,A,X,0.1
-0.0056116879,-0.36838531,A,X,0.1
0.0060231984,-0.37196541,A,X,0.1
-0.0071087778,-0.3774395,A,X,0.1
0.0055075586,-0.38180733,A,X,0.1
2.83E-05,-0.38681793,A,X,0.1
0.0036538541,-0.39236832,A,X,0.1
-0.0076279342,-0.39714813,A,X,0.1
-0.00079229474,-0.4029541,A,X,0.1
-0.0077724159,-0.40757561,A,X,0.1
0.010564953,-0.41254807,A,X,0.1
-0.0091538131,-0.41731453,A,X,0.1
0.0014971197,-0.42186356,A,X,0.1
-0.0066832006,-0.42824554,A,X,0.1
0.010880023,-0.43220139,A,X,0.1
-0.0030425489,-0.43715668,A,X,0.1
0.0053239167,-0.44272232,A,X,0.1
-0.0016407073,-0.44891548,A,X,0.1
0.0052831471,-0.45248032,A,X,0.1
-0.0076872408,-0.45788574,A,X,0.1
0.0061787069,-0.46302414,A,X,0.1
-0.0089884698,-0.46854782,A,X,0.1
-0.0011615455,-0.47276306,A,X,0.1
-0.007722348,-0.47846603,A,X,0.1
0.006387502,-0.4830761,A,X,0.1
-0.0082449615,-0.48844147,A,X,0.1
0.0078621209,-0.49474716,A,X,0.1
-0.011446506,-0.49888039,A,X,0.1
0.0080401599,-0.5032444,A,X,0.1
-0.012138993,-0.50744438,A,X,0.1
0.013217717,-0.51443863,A,X,0.1
-0.010134727,-0.51753235,A,X,0.1
0.0064172447,-0.52392578,A,X,0.1
-0.0024208724,-0.52804947,A,X,0.1
